Starting Price: 227.070007, Ending Price: 227.005005, Highest Price: 227.070007, Lowest Price: 226.949997, Total Volume: 13.000000
Starting Price: 227.005005, Ending Price: 227.050003, Highest Price: 227.050003, Lowest Price: 226.977005, Total Volume: 105.000000
Starting Price: 227.039993, Ending Price: 227.059998, Highest Price: 227.059998, Lowest Price: 226.949997, Total Volume: 119.000000
Starting Price: 227.039993, Ending Price: 227.020004, Highest Price: 227.070007, Lowest Price: 227.009995, Total Volume: 69.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 227.050003, Ending Price: 226.949707, Highest Price: 227.050003, Lowest Price: 226.949707, Total Volume: 594.000000
Starting Price: 226.949997, Ending Price: 226.929993, Highest Price: 227.059998, Lowest Price: 226.779999, Total Volume: 4156.000000
Starting Price: 226.970001, Ending Price: 227.000000, Highest Price: 227.050003, Lowest Price: 226.880005, Total Volume: 506.000000
Starting Price: 227.039993, Ending Price: 226.899994, Highest Price: 227.050003, Lowest Price: 226.809998, Total Volume: 386.000000
Starting Price: 226.899994, Ending Price: 226.940002, Highest Price: 227.070007, Lowest Price: 226.800003, Total Volume: 477.000000
Starting Price: 226.949997, Ending Price: 227.000000, Highest Price: 227.070007, Lowest Price: 226.800003, Total Volume: 13.000000
Starting Price: 227.070007, Ending Price: 226.935501, Highest Price: 227.070007, Lowest Price: 226.800003, Total Volume: 110.000000
Starting Price: 226.990005, Ending Price: 226.809998, Highest Price: 227.000000, Lowest Price: 226.809998, Total Volume: 121.000000
Starting Price: 227.000000, Ending Price: 226.940002, Highest Price: 227.000000, Lowest Price: 226.809998, Total Volume: 721.000000
Starting Price: 226.949997, Ending Price: 226.970001, Highest Price: 226.979996, Lowest Price: 226.929993, Total Volume: 147.000000
